store,address,phone,address2,지역구
청계센터점,서울특별시 종로구 청계천로 61,1577-9621 소프트크림 판매점,서울특별시 종로구 청계천로 61,종로구
발산역점,서울 강서구 강서로 378,1577-9621 소프트크림 판매점,서울특별시 강서구 강서로 378,강서구
논현삼릉역점,서울 강남구 봉은사로 327,1577-9621 소프트크림 판매점,서울특별시 강남구 봉은사로 327,강남구
비즈메트로점,서울 강서구 양천로 551-17,1577-9621 소프트크림 판매점,서울특별시 강서구 양천로 551-17,강서구
구로공단역점,서울 구로구 디지털로32나길 35 크라이머빌딩 1층,1577-9621 소프트크림 판매점,서울특별시 구로구 디지털로32나길 35 크라이머빌딩 1층,구로구
신사만남점,서울 강남구 강남대로152길 26,1577-9621 소프트크림 판매점,서울특별시 강남구 강남대로152길 26,강남구
반포삼공점,서울 서초구 고무래로 6-3,02-595-3624 소프트크림 판매점,서울특별시 서초구 고무래로 6-3,서초구
수유역점,서울 강북구 오패산로 413,1577-9621 소프트크림 판매점,서울특별시 강북구 오패산로 413,강북구
마포센터점,"서울 마포구 새창로 7 ,1층",1577-9621 소프트크림 판매점,"서울특별시 마포구 새창로 7 ,1층",마포구
방배동광점,서울 서초구 방배천로2안길 17,1577-9621,서울특별시 서초구 방배천로2안길 17,서초구
등촌청림점,서울 강서구 공항대로45길 44,02-3662-0707 소프트크림 판매점,서울특별시 강서구 공항대로45길 44,강서구
마포서강점,"서울 마포구 서강대길 40 마포자이2차A 상가동 101,102호",1577-9621 소프트크림 판매점,"서울특별시 마포구 서강대길 40 마포자이2차A 상가동 101,102호",마포구
방배홈타운점,서울 서초구 동광로 9,02-594-3842 소프트크림 판매점,서울특별시 서초구 동광로 9,서초구
종로충신점,서울특별시 종로구 율곡로 235,1577-9621 소프트크림 판매점,서울특별시 종로구 율곡로 235,종로구
가락진영점,"서울 송파구 오금로46길 27 (가락동, 진열빌딩 101호)",02-403-9907,"서울특별시 송파구 오금로46길 27 (가락동, 진열빌딩 101호)",송파구
이수세양점,"서울 서초구 서초대로 12, 세양아르비체 101동 107호 (방배동)",1577-9621,"서울특별시 서초구 서초대로 12, 세양아르비체 101동 107호 (방배동)",서초구
사당역점,서울 서초구 방배천로 5-3,02-586-2834 소프트크림 판매점,서울특별시 서초구 방배천로 5-3,서초구
구로빌란트점,서울 구로구 디지털로30길 31,1577-9621,서울특별시 구로구 디지털로30길 31,구로구
암사그랜드점,서울 강동구 올림픽로98가길 47 상가동 1층,1577-9621 소프트크림 판매점,서울특별시 강동구 올림픽로98가길 47 상가동 1층,강동구
면목센터점,서울 중랑구 동일로 492 센타빌딩 1층,1577-9621 소프트크림 판매점,서울특별시 중랑구 동일로 492 센타빌딩 1층,중랑구
장안벤처빌점,서울특별시 동대문구 한천로24길 74-1,02-2215-7717,서울특별시 동대문구 한천로24길 74-1,동대문구
사당점,서울 동작구 동작대로7길 12,1577-9621 소프트크림 판매점,서울특별시 동작구 동작대로7길 12,동작구
용산시티점,서울 용산구 서빙고로 35,1577-9621 소프트크림 판매점,서울특별시 용산구 서빙고로 35,용산구
가산한라점,서울 금천구 가산디지털2로 53,1577-9621,서울특별시 금천구 가산디지털2로 53,금천구
방화사거리점,서울 강서구 양천로 73 멤브로메디컬센터 1층 104호,1577-9621,서울특별시 강서구 양천로 73 멤브로메디컬센터 1층 104호,강서구
종로효제점,서울 종로구 종로39길 40,02-766-7498 소프트크림 판매점,서울특별시 종로구 종로39길 40,종로구
은평푸르지오점,"서울 은평구 연서로48길 12, 513동 상가 1층 103호",1577-9621,"서울특별시 은평구 연서로48길 12, 513동 상가 1층 103호",은평구
신림본점,서울 관악구 신림로 270,02-873-2131,서울특별시 관악구 신림로 270,관악구
청담누리점,서울 강남구 도산대로57길 7,02-514-8712,서울특별시 강남구 도산대로57길 7,강남구
양재으뜸점,"서울 서초구 남부순환로356길 33, 1층 101호",1577-9621,"서울특별시 서초구 남부순환로356길 33, 1층 101호",서초구
종로육의전점,서울특별시 종로구 수표로 105,1577-9621,서울특별시 종로구 수표로 105,종로구
잠원점,서울 서초구 신반포로43길 23-4,1577-9621,서울특별시 서초구 신반포로43길 23-4,서초구
일원본점,서울특별시 강남구 양재대로55길 13 (일원동 644-2),1577-9621,서울특별시 강남구 양재대로55길 13 (일원동 644-2),강남구
경희궁점,"서울 종로구 사직로8길 34 경희궁의 아침 3단지 101,102,103호",1577-9621,"서울특별시 종로구 사직로8길 34 경희궁의 아침 3단지 101,102,103호",종로구
구로이앤씨점,서울 구로구 디지털로31길 38-21,1577-9621 소프트크림 판매점,서울특별시 구로구 디지털로31길 38-21,구로구
상봉점,서울 중랑구 봉우재로33길 92,1577-9621 소프트크림 판매점,서울특별시 중랑구 봉우재로33길 92,중랑구
구로대륭점,서울 구로구 디지털로34길 27,1577-9621 소프트크림 판매점,서울특별시 구로구 디지털로34길 27,구로구
구로포스트점,서울 구로구 디지털로 288 대륭포스트아워 1차 110호,1577-9621 소프트크림 판매점,서울특별시 구로구 디지털로 288 대륭포스트아워 1차 110호,구로구
도곡비전점,서울 강남구 언주로30길 10,1577-9621,서울특별시 강남구 언주로30길 10,강남구
녹색병원점,서울 중랑구 사가정로49길 53,1577-9621,서울특별시 중랑구 사가정로49길 53,중랑구
구의중앙점,"서울 광진구 구의로 39 (구의동, 1층)",1577-9621,"서울특별시 광진구 구의로 39 (구의동, 1층)",광진구
수유인텔리안점,서울 강북구 도봉로 313,02-900-7838,서울특별시 강북구 도봉로 313,강북구
을지병원1점,서울 노원구 한글비석로 68,02-974-2759,서울특별시 노원구 한글비석로 68,노원구
송파삼성점,서울 송파구 가락로28길 15 삼일빌딩 1층,1577-9621,서울특별시 송파구 가락로28길 15 삼일빌딩 1층,송파구
서울시청역점,서울 중구 서소문로 135,1577-9621,서울특별시 중구 서소문로 135,중구
관악정옥점,서울 관악구 관악로15길 39,1577-9621,서울특별시 관악구 관악로15길 39,관악구
약수역점,서울 중구 다산로 110,1577-9621,서울특별시 중구 다산로 110,중구
휘경주공점,서울특별시 동대문구 한천로 250 주공아파트 상가 103호,1577-9621,서울특별시 동대문구 한천로 250 주공아파트 상가 103호,동대문구
천호승리점,서울 강동구 구천면로 293,1577-9621,서울특별시 강동구 구천면로 293,강동구
서교동명점,서울 마포구 월드컵로10길 28,1577-9621,서울특별시 마포구 월드컵로10길 28,마포구
쌍문역점,서울 도봉구 도봉로 476,02-996-6963,서울특별시 도봉구 도봉로 476,도봉구
논현행운점,서울 강남구 선릉로129길 15,1577-9621,서울특별시 강남구 선릉로129길 15,강남구
종로6가점,서울 종로구 종로41길 3,1577-9621,서울특별시 종로구 종로41길 3,종로구
가산월드점,"서울 금천구 가산디지털2로 123, 1층 104호",1577-9621,"서울특별시 금천구 가산디지털2로 123, 1층 104호",금천구
상계점,서울 노원구 한글비석로 411,1577-9621 소프트크림 판매점,서울특별시 노원구 한글비석로 411,노원구
성동도선점,서울 성동구 왕십리로20길 26,02-2297-7319 소프트크림 판매점,서울특별시 성동구 왕십리로20길 26,성동구
역삼만남점,서울 강남구 테헤란로6길 47,02-569-5796 소프트크림 판매점,서울특별시 강남구 테헤란로6길 47,강남구
도봉쌍문점,서울 도봉구 도봉로110길 12,1577-9621,서울특별시 도봉구 도봉로110길 12,도봉구
연신내동명점,서울 은평구 연서로28길 20-1,02-380-5232,서울특별시 은평구 연서로28길 20-1,은평구
이대역점,서울 서대문구 이화여대길 7 (대현동) 1층,1577-9621,서울특별시 서대문구 이화여대길 7 (대현동) 1층,서대문구
목동파라곤점,서울 양천구 목동서로 155,02-2651-9835,서울특별시 양천구 목동서로 155,양천구
신월우창점,서울 양천구 신월로17길 21,1577-9621,서울특별시 양천구 신월로17길 21,양천구
남산소월점,서울 용산구 신흥로20길 1,02-773-5526,서울특별시 용산구 신흥로20길 1,용산구
청담유시어터점,서울 강남구 도산대로58길 17,1577-9621 소프트크림 판매점,서울특별시 강남구 도산대로58길 17,강남구
미아삼성점,서울 강북구 삼양로27길 20,02-982-6659,서울특별시 강북구 삼양로27길 20,강북구
풍납점,서울 송파구 올림픽로47길 19 오성빌딩,1577-9621,서울특별시 송파구 올림픽로47길 19 오성빌딩,송파구
뉴스타점,서울 송파구 백제고분로33길 31,1577-9621 소프트크림 판매점,서울특별시 송파구 백제고분로33길 31,송파구
역삼태광점,서울 강남구 테헤란로34길 7,02-539-8773 소프트크림 판매점,서울특별시 강남구 테헤란로34길 7,강남구
역삼성지점,서울 강남구 테헤란로 313,02-539-1204,서울특별시 강남구 테헤란로 313,강남구
도봉방학점,서울 도봉구 도당로13길 38,1577-9621 소프트크림 판매점,서울특별시 도봉구 도당로13길 38,도봉구
수서벤처점,서울 강남구 밤고개로1길 10,02-2040-7111 소프트크림 판매점,서울특별시 강남구 밤고개로1길 10,강남구
구로지플러스점,서울 구로구 디지털로26길 123,1577-9621 소프트크림 판매점,서울특별시 구로구 디지털로26길 123,구로구
신사제일점,서울 강남구 논현로 808 선호빌딩,02-3445-1580,서울특별시 강남구 논현로 808 선호빌딩,강남구
성수2가점,서울 성동구 광나루로 238,1577-9621 소프트크림 판매점,서울특별시 성동구 광나루로 238,성동구
번동주공점,서울 강북구 한천로105길 33,1577-9621,서울특별시 강북구 한천로105길 33,강북구
숙대입구점,서울 용산구 청파로 287,1577-9621,서울특별시 용산구 청파로 287,용산구
방학2점,서울 도봉구 방학로 192,1577-9621 소프트크림 판매점,서울특별시 도봉구 방학로 192,도봉구
압구정로데오점,서울 강남구 도산대로51길 44 (신사동),1577-9621,서울특별시 강남구 도산대로51길 44 (신사동),강남구
상암센트럴점,서울 마포구 월드컵북로 375 DMC E1-1블록1층,1577-9621,서울특별시 마포구 월드컵북로 375 DMC E1-1블록1층,마포구
뚝섬점,서울 성동구 상원8길 1,1577-9621 소프트크림 판매점,서울특별시 성동구 상원8길 1,성동구
